id,title,assignee,author,priorityDate,filingDate,publicationDate,grant date,url,representative-figure-link
CN-114583807-B,储能系统的控制方法、装置、设备、存储介质和程序产品 ,宁德时代新能源科技股份有限公司,"陈新伟, 李向涛, 潘先喜, 黄天一, 颜昱, 但志敏",2022-05-09,2022-05-09,2022-10-14,2022-10-14,https://patents.google.com/patent/CN114583807B/zh,https://patentimages.storage.googleapis.com/3b/bb/7c/d604be5abd897e/220507163609.png
CN-114865676-B,一种混合储能系统控制方法、装置和电子设备 ,中国长江三峡集团有限公司,"李乐颖, 邹祖冰, 刘瑞阔, 谷昱君, 李伟, 姚维为",2022-07-07,2022-07-07,2022-09-20,2022-09-20,https://patents.google.com/patent/CN114865676B/zh,https://patentimages.storage.googleapis.com/e5/f0/49/f60c47fffbe329/220510163442.png
CN-115858630-B,一种储能电站储能数据的异常检测方法 ,新风光电子科技股份有限公司,"胡顺全, 陈早军, 檀通, 薛兆元, 徐长海, 张学运, 蒋海龙",2023-02-21,2023-02-21,2023-05-09,2023-05-09,https://patents.google.com/patent/CN115858630B/zh,https://patentimages.storage.googleapis.com/1a/0a/09/3298f94c1c1c5c/FT_1.png
CN-115588817-B,下塑胶件、顶盖组件、储能装置及用电设备 ,"深圳海润新能源科技有限公司, 厦门海辰储能科技股份有限公司","周文扬, 熊永锋, 阳明",2022-11-11,2022-11-11,2023-03-14,2023-03-14,https://patents.google.com/patent/CN115588817B/zh,https://patentimages.storage.googleapis.com/c9/11/00/78539850dae0da/221111153339.png
CN-114944663-B,一种基于构网型变流器的储能系统控制方法及系统 ,中国电力科学研究院有限公司,"孙华东, 李文锋, 郭剑波, 郭强, 孙航宇, 赵旭峰, 张健, 魏巍, 艾东平, 郑超",2022-07-26,2022-07-26,2022-09-23,2022-09-23,https://patents.google.com/patent/CN114944663B/zh,https://patentimages.storage.googleapis.com/de/58/4e/4a51a4e8fc149c/2206072048041.png
CN-116454951-B,一种光储能控制系统及方法 ,重庆跃达新能源有限公司,"吴竞雄, 吴跃波, 朱征勇, 陈娅",2023-04-28,2023-04-28,2023-12-05,2023-12-05,https://patents.google.com/patent/CN116454951B/zh,
CN-116775408-B,一种储能设备运行状态的智能监测方法 ,上海启斯云计算有限公司,"吴治强, 杨沁",2023-06-19,2023-06-19,2024-02-09,2024-02-09,https://patents.google.com/patent/CN116775408B/zh,
CN-116632983-B,一种适用于户外储能电源的充放电控制系统 ,广州丰久新能源科技有限公司,贺升,2023-07-24,2023-07-24,2024-04-05,2024-04-05,https://patents.google.com/patent/CN116632983B/zh,
CN-115498673-B,一种储能设备的控制方法及设备 ,"深圳海润新能源科技有限公司, 厦门海辰储能科技股份有限公司","黄英雄, 章永飞",2022-11-15,2022-11-15,2023-03-07,2023-03-07,https://patents.google.com/patent/CN115498673B/zh,https://patentimages.storage.googleapis.com/53/3a/d8/e8134397b13309/221115181533.png
CN-114154429-B,一种储能系统的数字孪生体构建方法、装置及存储介质 ,中国长江三峡集团有限公司,"于琦, 林恩德, 胡永胜, 张志军, 高潮, 庄宇飞",2022-02-10,2022-02-10,2022-06-14,2022-06-14,https://patents.google.com/patent/CN114154429B/zh,https://patentimages.storage.googleapis.com/a0/fc/ec/89c27c47d00b0c/220125155730.png
